date,new_users,active_users,retention_rate
2026-08-04,1200,8500,0.42
2026-08-05,1350,8900,0.45
2026-08-06,1180,8650,0.41
2026-08-07,1420,9100,0.46
2026-08-08,1290,8800,0.43
2026-08-09,1100,8200,0.40
2026-08-10,1250,8700,0.42
2026-08-11,1380,8950,0.44
2026-08-12,1310,8850,0.43
2026-08-13,1190,8600,0.41
2026-08-14,1450,9200,0.47
2026-08-15,1320,8900,0.44
2026-08-16,1150,8400,0.40
2026-08-17,1280,8750,0.42
2026-08-18,1410,9050,0.45
2026-08-19,1340,8900,0.43
2026-08-20,1220,8650,0.41
2026-08-21,1480,9300,0.48
2026-08-22,1360,8950,0.44
2026-08-23,1170,8500,0.41
2026-08-24,1300,8800,0.43
2026-08-25,1430,9100,0.46
2026-08-26,1350,8900,0.44
2026-08-27,1240,8700,0.42
2026-08-28,1500,9400,0.49
2026-08-29,1380,9000,0.45
2026-08-30,1210,8600,0.42
2026-08-31,1320,8850,0.44
2026-09-01,720,5100,0.32
2026-09-02,1280,8700,0.43
